"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Changing the Schema Setup dropdown must not affect the Filter Builder's Active Schema.","215","test_schema_setup_does_not_set_active_schema_for_filter[chromium]","tests.e2e","Tue Apr 28 13:35:35 UTC 2026","passed","Tue Apr 28 13:35:35 UTC 2026","","test_e2e_schema_ui","",""
"","2","test_validate_config_all_missing","tests.unit","Tue Apr 28 13:34:56 UTC 2026","passed","Tue Apr 28 13:34:56 UTC 2026","","test_config","",""
"Saved filename follows dau_<username>_<timestamp>.json pattern (DAU-F-014).","154","test_filename_matches_dau_username_timestamp_pattern[chromium]","tests.e2e","Tue Apr 28 13:35:09 UTC 2026","passed","Tue Apr 28 13:35:09 UTC 2026","","test_dau_survey_ui","",""
"","0","test_create_client_passes_verify_ssl","tests.unit","Tue Apr 28 13:34:57 UTC 2026","passed","Tue Apr 28 13:34:57 UTC 2026","","test_jira_client","",""
"Certificate expiring in 5 days is still valid=True (not yet expired).

    days_remaining <= 7 is a UI-only warning threshold; validate_cert itself
    has no 7-day cutoff — it only checks days_remaining >= 0.
    ","1","test_validate_cert_expiring_soon","tests.unit","Tue Apr 28 13:34:56 UTC 2026","passed","Tue Apr 28 13:34:56 UTC 2026","","test_cert_validation","",""
"","0","test_is_done[Closed-True]","tests.unit","Tue Apr 28 13:34:57 UTC 2026","passed","Tue Apr 28 13:34:57 UTC 2026","","test_metrics","",""
"No credentials → exit 1 with error message.","0","test_main_pipeline_config_fail","tests.integration","Tue Apr 28 13:34:57 UTC 2026","passed","Tue Apr 28 13:34:57 UTC 2026","","test_integration","",""
"","1","test_build_schema_from_fields_detects_story_points_by_name","tests.unit","Tue Apr 28 13:34:57 UTC 2026","passed","Tue Apr 28 13:34:57 UTC 2026","","test_schema","",""
"","0","test_missing_dir_returns_zero_count","tests.unit","Tue Apr 28 13:34:56 UTC 2026","passed","Tue Apr 28 13:34:56 UTC 2026","","test_dau_metrics","",""
"","2","test_invalid_json_returns_400","tests.component","Tue Apr 28 13:35:22 UTC 2026","passed","Tue Apr 28 13:35:22 UTC 2026","TestPostConfig","test_server_config","",""
"","0","test_build_schema_from_fields_preserves_team_jql_name","tests.unit","Tue Apr 28 13:34:57 UTC 2026","passed","Tue Apr 28 13:34:57 UTC 2026","","test_schema","",""
"Only fields present in the server config are filled; absent fields remain empty.","159","test_partial_config_populates_only_present_fields[chromium]","tests.e2e","Tue Apr 28 13:35:14 UTC 2026","passed","Tue Apr 28 13:35:14 UTC 2026","","test_e2e_connection","",""
"Submit button is disabled before any fields are filled.","49","test_submit_button_initially_disabled[chromium]","tests.e2e","Tue Apr 28 13:35:06 UTC 2026","passed","Tue Apr 28 13:35:06 UTC 2026","","test_dau_survey_ui","",""
"","0","test_ai_usage_dedup_across_sprints","tests.unit","Tue Apr 28 13:34:57 UTC 2026","passed","Tue Apr 28 13:34:57 UTC 2026","","test_metrics","",""
"URL and email fields are re-populated from server config after a page reload.","304","test_saved_credentials_prefill_on_reload[chromium]","tests.e2e","Tue Apr 28 13:35:22 UTC 2026","passed","Tue Apr 28 13:35:23 UTC 2026","","test_e2e_connection","",""
"Fetch Certificate button shows 'Fetch Certificate' text when no cert exists.","182","test_fetch_cert_button_label_is_fetch_when_no_cert[chromium]","tests.e2e","Tue Apr 28 13:35:24 UTC 2026","passed","Tue Apr 28 13:35:25 UTC 2026","","test_e2e_connection","",""
"","0","test_test_connection_invalid_json","tests.component","Tue Apr 28 13:34:58 UTC 2026","passed","Tue Apr 28 13:34:58 UTC 2026","","test_server","",""
